name,location,category,tags
호국지장사(서울),동작구,1.0,#관광지#불교#불교문화#사찰#사찰여행#역사#자연속으로#자연환경
한국가구박물관,성북구,1.0,#가구박물관#관광지#문화콘텐츠#박물관#산업관광#산업관광지#수도권
서울 구 러시아공사관,중구,1.0,#관광지#근대문화유산#도심여행#아이와함께#역사#역사공부#역사관광
명동관광정보센터,중구,1.0,#관광정보#관광지#관광코스정보#교통정보#국내여행정보#맛집정보
VRZONE 용산 아이파크몰점,용산구,1.0,#VR체험#관광지#데이트장소추천#실내데이트#실내여행지#아이가_좋아하는_여행
윌리엄해밀턴쇼 동상,은평구,1.0,#공원#관광지#동상#아이와함께#역사#역사공부#역사관광지#역사를품은곳
구룡산(서울),서초구,1.0,#관광지#구룡산#산#수도권#자연#자연좋은곳#자연환경#트레킹#휴식여행
다락원체육공원,도봉구,1.0,#관광지#다락원체육공원#대형체육공원#도봉구게이트볼장#도봉구배드민턴장
은곡마을공원,강남구,1.0,#관광지#근린공원#드라마촬영장소#세곡동공원#은곡마을공원
신사공원,강남구,1.0,#강남근린공원#관광지#근린공원#신사공원#신사동산책로#압구정공원
청담패션거리,강남구,1.0,#관광지#남녀노소#문화예술#복합문화공간#수도권#연인과함께#영도해양문화공간
청담근린공원,강남구,1.0,#강남휴식공원#강남힐링#공원#관광지#산책길#산책코스#산책하기
역삼동성당,강남구,1.0,#강남가톨릭문화원#관광지#성당결혼식#성당예식#역삼동성당
개봉 유수지,구로구,1.0,#가족과함께#공원#관광지#산책로#산책하기좋은곳#생태공원#아침운동
립바이 메이크업 스튜디오,강남구,1.0,#관광지#메이크업#메이크업스튜디오#메이크업클래스#서울
청와대 전망대,종로구,1.0,#관광지#북악산#북악산생태탐방로#북악산정상#산책로#서울#서울뷰맛집
북한산백운대(우이동),도봉구,1.0,#관광지#북한산#서울_여행지_추천#서울가볼만한곳#서울권#우이동
물빛광장,영등포구,1.0,#가족나들이장소#관광지#물빛광장#분수#분수공원#한강공원#한강조망공원
신림계곡,관악구,1.0,#계곡물놀이#관광지#관악산계곡#서울계곡#숲속물놀이장#신림계곡
방화대교,강서구,1.0,#가족과함께#건축물#관광지#남녀노소#다리#대교#방화대교#서울야경
부암동,종로구,1.0,#걷기여행#관광지#데이트코스#도심여행#드라마촬영지#브런치카페
150년 수령 느티나무,양천구,1.0,#관광지#느티나무#수호신#양천구#역사속으로#역사이야기#자연여행
달마사(서울),동작구,1.0,#관광지#불교#불교문화#사찰여행#역사#원불교#자연속으로#자연환경
약사사(서울),강서구,1.0,#개화산#관광지#도심속사찰#불교#불교문화#사찰#사찰여행#역사
보광사(서울),용산구,1.0,#관광지#무후묘#불교#불교문화#사찰#사찰여행#역사#역사속#역사여행
서울 정릉(신덕왕후) [유네스코 세계유산],성북구,1.0,#관광지#서울정릉#세계문화유산#수도권#아이와함께#역사#역사공부
삼성해맞이공원,강남구,1.0,#가족나들이#강남#강남가볼만한곳#공원#관광지#산책로#서울가볼만한곳
서울 방이동 고분군,송파구,1.0,#고분유적#관광지#반려동물#반려동물동반여행지#방이동고분군#백제고분군
관음사(서울),관악구,1.0,#관광지#관악능선#관악산#관악산등산코스#관악산사찰#불교문화#사찰여행
신촌 플레이버스,서대문구,1.0,#관광지#도심여행#문화콘텐츠산업#문화행사#수도권#예술#음악회
홍제폭포,서대문구,1.0,#관광지#서울_여행지_추천#서울가볼만한곳#서울권#인공폭포#홍제천
율현공원,강남구,1.0,#강남호수공원#관광지#근린공원#녹지공원#서울공원#세곡지구공원
보광사 보광선원(서울),강북구,1.0,#관광지#불교#불교문화#사찰#사찰여행#역사#자연속으로#자연환경
서울색공원,영등포구,1.0,#가족여행#관광지#데이트코스#도심여행#사계절#산책길#산책하기
서서울호수공원,양천구,1.0,#가족여행#걷기여행#걷기좋은공원#관광지#나들이(피크닉)#당일치기여행
"서울 의릉(경종,선의왕후) [유네스코 세계유산]",성북구,1.0,#관광지#교과서속여행#도심여행#서울의릉#아이와함께#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속으로#역사유적#역사유적지#역사이야기#역사탐방#유네스코세계문화유산
서울 연세대학교 아펜젤러관,서대문구,1.0,#관광지#상경관#아펜젤러관#역사#역사공부#역사관광지#역사를품은곳
잠원한강공원,서초구,1.0,#가족여행#관광지#나들이#산책길#산책로#산책하기#산책하기좋은곳
월드컵공원,마포구,1.0,#2024_여행가는달과함께하는_발도장여행지#가족여행#관광지#산책하기
대성사(서울),서초구,1.0,#가족여행#관광지#대성사(서울)#반려동물#반려동물동반여행지#불교
문화철도 959,구로구,1.0,#관광지#문화공간#문화예술#복합문화공간#종합예술#휴식공간#휴식하기
상수동 카페거리,마포구,1.0,#관광지#데이트#분위기좋은카페#서울카페#연인과함께#이색카페#체험
종묘 [유네스코 세계유산],종로구,1.0,#가족과함께#가족여행#관광지#교과서속여행#당일치기여행#서울근교여행
서울 풍납동 토성,송파구,1.0,#가족여행#관광지#교과서속여행#당일치기여행#서울근교여행#서울풍납동토성
어린이회관,광진구,1.0,#관광지#광나루어린이회관#광진구어린이회관#근화원#복지회관#실내놀이터
건청궁,종로구,1.0,#경복궁#관광지#명성황후#역사#역사공부#역사관광지#역사를품은곳
우이령 숲속문화마을,강북구,1.0,#가을먹거리#관광지#남녀노소#등산객#맛집탐방#먹거리#먹거리투어
서울 운현궁,종로구,1.0,#관광지#서울운현궁#수도권#아이와함께#역사#역사공부#역사관광지
국립4.19민주묘지,강북구,1.0,#가족여행#관광지#교과서속여행#국립4.19민주묘지#근대문화유산#당일치기여행
천호공원,강동구,1.0,#걷기좋은곳#공원#관광지#근린공원#산책길#산책코스#산책하기#산책하기좋은곳
광나루한강공원,강동구,1.0,#걷기길#관광지#광나루한강공원#나들이#도심여행#서울가볼만한곳
압구정 로데오거리,강남구,1.0,#가족과함께#강남구#강남시티투어#관광지#산책하기좋은곳#쇼핑거리
신선경과 류인호 묘역,송파구,1.0,#관광지#교과서속여행#신선경과류인호묘역#아이와함께#역사#역사공부
세빛섬,서초구,1.0,#2024_여행가는달과함께하는_발도장여행지#가족과함께#걷기길#경치좋은곳
"서울교통공사 차량기지(신정, 수서, 천왕기지)",성동구,1.0,#가족과함께#관광지#교육여행#교육프로그램#도심여행#서울교통공사
서울 경모궁지,종로구,1.0,#경모궁지#고택#관광지#교과서속여행#문화재#수도권#역사#역사공부
예지원,중구,1.0,#관광지#남녀노소#도심여행#아이와함께#예지원#요리교실#이색체험
올림픽대교,송파구,1.0,#88올림픽기념#건축물#관광지#다리#드라이브코스#서울야경#서울올림픽
한방스파 여용국,송파구,1.0,#관광지#뷰티&스파온천&스파#연인과함께#친구와함께#휴식공간#휴식여행
성북동성당,성북구,1.0,#관광지#서울성북동성당#성당#성북동가볼만한곳#성북동나들이#성북동산책
보문사(서울),성북구,1.0,#관광지#보문사#불교#불교문화#불교사찰#사찰#사찰여행#서울사찰
효령대군이보묘역,서초구,1.0,#관광지#서초효령대군묘#역사#역사공부#역사관광지#역사를품은곳
피노파밀리아,노원구,1.0,#가족여행#관광지#도심여행#문화공간#복합문화공간#아이와함께#어린이놀이터
약수사(서울),관악구,1.0,#관광지#불교#불교문화#사찰#사찰#사찰여행#수도권#역사#자연환경
대림동 차이나타운,영등포구,1.0,#관광지#맛집골목#맛집여행#맛집투어#먹자골목#반려동물#반려동물동반여행지
옥천암(서울),서대문구,1.0,#관광지#대한불교조계종#불교#불교문화#불교사찰#사찰#사찰여행
관문사(서울),서초구,1.0,#관광지#관문사#불교#불교문화#사찰#사찰여행#서울관문사#수도권
광흥당,마포구,1.0,#공민왕사당#관광지#광흥당#국악#국악공연#국악한마당#마포국악울림
천왕근린공원,구로구,1.0,#걷기좋은곳#공원#관광지#산책하기좋은곳#아이와함께#연인과함께
류순정·류홍 부자 묘역,구로구,1.0,#관광지#구로구묘역#구로구문화재#구로구조선시대묘역#류순정묘역
음식문화특화거리(깔깔거리),구로구,1.0,#관광지#구로깔깔거리#구로맛집골목#구로맛집탐방#구로먹방여행#맛집
구로기계공구단지,구로구,1.0,#공구#공구상가#관광지#구로구#구로구기계공구상가#구로역#기계공구단지
경희궁 숭정전,중구,1.0,#관광지#동국대학교문화재#서울역사체험#서울역사탐방#역사#역사공부
일자산자연공원,강동구,1.0,#걷기길#관광지#둔굴#생태체험#서울공원#수도권#연중무휴#일자산자연공원
매헌 시민의 숲,서초구,1.0,#걷기길#관광지#나들이#도심여행#산책길#산책하기#산책하기좋은곳
절두산 순교성지,마포구,1.0,#관광지#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속
경희궁,종로구,1.0,#15_16한국관광100선#17_18한국관광100선#19_20한국관광100선#2024_여행가는달과함께하는_발도장여행지
미타사(강서),강서구,1.0,#관광지#불교#불교문화#사찰#사찰여행#역사#자연속으로#자연환경
이촌한강공원,용산구,1.0,#걷기길#관광지#남녀노소#봄나들이#산책코스#산책하기좋은곳#수도권
창경궁,종로구,1.0,#15_16한국관광100선#17_18한국관광100선#19_20한국관광100선#2024_여행가는달과함께하는_발도장여행지
서울 정동교회,중구,1.0,#관광지#교과서속여행#나홀로여행#도심여행#역사#역사공부#역사를품은곳
키즈오토파크,광진구,1.0,#관광지#교육여행#교육체험#교통안전#도로교통안전체험#서울어린이대공원
천마근린공원,송파구,1.0,#관광지#둘레길#산책하기좋은곳#생태체험#서울공원#송파구공원#천마공원
묘각사(서울),종로구,1.0,#관광지#대한불교관음종#불교#불교문화#사찰#사찰여행#산사체험프로그램
국제선센터,양천구,1.0,#가족여행#가족체험여행#관광지#국제선센터#불교국제센터#사계절
영등포근린공원,영등포구,1.0,#가족여행#걷기길#관광지#데이트코스#도심여행#사계절#산책길#산책하기
유어마인드,서대문구,1.0,#관광지#다락방#독립출판물#서점#쇼핑
이봉창의사동상,용산구,1.0,#관광지#사계절#수도권#아이와함께#역사공부#역사관광지#역사를품은곳
봉원사(서울),서대문구,1.0,#관광지#불교#불교사찰#사찰#서울여행#역사#역사관광지#자연환경
오동근린공원,강북구,1.0,#관광지#근린공원#산책길#산책코스#산책하기#산책하기좋은곳#실내운동
인사동,종로구,1.0,#관광지#도심여행#반려동물#반려동물동반여행지#수도권#시티투어
황학정,종로구,1.0,#관광지#서울여행#역사#역사관광지#역사관광지#역사를품은곳#역사문화관광
세종마을 음식문화거리,종로구,1.0,#가족과함께#관광지#맛집#먹자골목#종로#친구와함께#핫플레이스
양재천 생태공원,서초구,1.0,#강남양재천#관광지#나들이#당일치기여행#도심생태공원#도심여행
대현산배수지공원 / 대현산배수지공원 모노레일,성동구,1.0,#공원#관광지#모노레일#산책하기좋은곳#서울#운동시설
이재명 의거지,중구,1.0,#관광지#수도권#역사#역사공부#역사를품은곳#역사문화재#역사속
씨랄라 워터파크,영등포구,1.0,#관광지#남녀노소#문래동사우나#문래동워터파크#물놀이장#실내워터파크
선유도공원,영등포구,1.0,#관광지#도심산책#산책길#산책로#휴식공간#휴식여행#휴식하기#휴식하기좋은곳
우당 이회영 선생 흉상,중구,1.0,#관광지#수도권#아이와함께#역사#역사공부#역사를품은곳#역사속
남산순환나들길,중구,1.0,#걷기좋은길#관광지#남산둘레길#무장애산책로#반려동물#반려동물동반여행지
3.1독립선언기념탑,서대문구,1.0,#관광지#사계절#수도권#아이와함께#역사관광지#역사여행#체험학습
잠실유수지공원,송파구,1.0,#공원산책#관광지#운동하기좋은곳#잠실가볼만한곳#잠실생태공원#잠실유수지체육공원
아차산봉수대터,중랑구,1.0,#관광지#아차산#역사#역사공부#역사관광지#역사여행#역사탐방
서초문화예술공원,서초구,1.0,#관광지#메타세쿼이아길#산책하기좋은#서울데이트장소#예술공원#조각작품
서울 약현성당,중구,1.0,#관광지#교과서속여행#근대문화유산#도심여행#서울약현성당#역사
온수도시 자연공원(잣절공원),구로구,1.0,#가족과함께#가족체험#가족체험학습#공원#관광지#도시자연공원#반딧불이
삼성산성지,관악구,1.0,#2024_여행가는달과함께하는_발도장여행지#가톨릭순례길#관광지#반려동물
은가어린이공원,서대문구,1.0,#관광지#바닥분수대공원#반려동물#반려동물동반여행지#서대문구어린이공원
서울새활용플라자,성동구,1.0,#관광지#뉴트로_감성여행#도시재생#산업관광#산업관광지#수도권#아이와함께
망원유수지체육공원,마포구,1.0,#관광지#마포구게이트볼#마포구농구장#마포구인라인#마포구족구장
인왕산,종로구,1.0,#관광지#등산#반려동물#반려동물동반여행지#사직공원#서울권반려동물여행지
북정마을,성북구,1.0,#가족과함께#골목투어#관광지#남녀노소#문화예술#문화예술창작공간
이충순 자결 터,중구,1.0,#관광지#수도권#역사#역사공부#역사를품은곳#역사속#역사속으로
극락사(서울),중랑구,1.0,#관광지#불교#불교문화#불교문화#서울사찰#역사#역사속으로#역사이야기
신석구 사택 터,중구,1.0,#관광지#수도권#신석구사택터#역사#역사관광지#역사를품은곳#역사문화재
목멱산봉수대터,중구,1.0,#관광지#남산봉수대#목멱산봉수대#서울특별시기념물#역사#역사공부
서소문역사공원,중구,1.0,#관광지#도심산책#산책하기좋은곳#서소문성지#아이와함께#역사공부
양천해누리체육공원,양천구,1.0,#관광지#농구장#야외체육시설#양천체육공원#인조잔디축구장#족구장
천간사,은평구,1.0,#관광지#불교#불교문화#사찰#사찰여행#수도권#역사#전통사찰#종교
청계광장,중구,1.0,#관광지#서울가볼만한곳#서울걷기좋은길#서울산책#서울여행#청계광장
덕수궁 대한문,중구,1.0,#19_20한국관광100선#가족여행#고궁#관광지#교과서속여행#덕수궁대한문
창경궁 홍화문,종로구,1.0,#19_20한국관광100선#가족여행#고궁#관광지#교과서속여행#사계절
경희궁 흥화문,종로구,1.0,#19_20한국관광100선#가족여행#경희궁흥화문#고궁#관광지#교과서속여행
